PULocationID,n_trips,avg_distance,avg_total,avg_tip_pct,Borough,Zone,service_zone
237,148137,1.6630044,19.82286,0.24052107,Manhattan,Upper East Side South,Yellow Zone
161,146843,2.2035701,24.236452,0.23357898,Manhattan,Midtown Center,Yellow Zone
236,137941,1.8023994,20.176727,0.23591769,Manhattan,Upper East Side North,Yellow Zone
132,133734,15.674957,81.066925,0.14318788,Queens,JFK Airport,Airports
186,108204,2.1876829,24.049044,0.22249621,Manhattan,Penn Station/Madison Sq West,Yellow Zone
230,107546,2.8326812,27.150532,0.22403772,Manhattan,Times Sq/Theatre District,Yellow Zone
162,105098,2.1825044,23.745417,0.23674814,Manhattan,Midtown East,Yellow Zone
142,97611,2.0576324,21.579725,0.23815086,Manhattan,Lincoln Square East,Yellow Zone
138,85431,9.624812,76.94015,0.21891093,Queens,LaGuardia Airport,Airports
163,84672,2.2832592,24.319773,0.23304565,Manhattan,Midtown North,Yellow Zone
239,81858,1.9948007,20.91447,0.24133706,Manhattan,Upper West Side South,Yellow Zone
170,79561,2.1632237,23.324541,0.23140112,Manhattan,Murray Hill,Yellow Zone
234,78068,1.9455216,22.014616,0.24511299,Manhattan,Union Sq,Yellow Zone
68,75309,2.418708,24.874928,0.2322048,Manhattan,East Chelsea,Yellow Zone
48,70222,2.3258018,23.047379,0.22982198,Manhattan,Clinton East,Yellow Zone
141,70017,1.7636755,19.652426,0.23346083,Manhattan,Lenox Hill West,Yellow Zone
140,63340,2.2348378,22.300505,0.22090077,Manhattan,Lenox Hill East,Yellow Zone
164,61333,2.2791605,23.89012,0.2332371,Manhattan,Midtown South,Yellow Zone
79,59647,2.2324693,22.4644,0.2330941,Manhattan,East Village,Yellow Zone
